"region","upplåtelseform","år","Antal"
"0380C1070","uppgift saknas","2024",0
"0380C1080","hyresrätt","2024",114
"0380C1080","bostadsrätt","2024",429
"0380C1080","äganderätt","2024",0
"0380C1080","uppgift saknas","2024",0
"0380C1090","hyresrätt","2024",0
"0380C1090","bostadsrätt","2024",360
"0380C1090","äganderätt","2024",51
"0380C1090","uppgift saknas","2024",0
"0380C1100","hyresrätt","2024",619
"0380C1100","bostadsrätt","2024",0
"0380C1100","äganderätt","2024",0
"0380C1100","uppgift saknas","2024",0
"0380C1110","hyresrätt","2024",470
"0380C1110","bostadsrätt","2024",483
"0380C1110","äganderätt","2024",0
"0380C1110","uppgift saknas","2024",0
"0380C1120","hyresrätt","2024",9
"0380C1120","bostadsrätt","2024",0
"0380C1120","äganderätt","2024",306
"0380C1120","uppgift saknas","2024",0
"0380C1130","hyresrätt","2024",601
"0380C1130","bostadsrätt","2024",0
"0380C1130","äganderätt","2024",0
"0380C1130","uppgift saknas","2024",0
"0380C1140","hyresrätt","2024",434
"0380C1140","bostadsrätt","2024",315
"0380C1140","äganderätt","2024",0
"0380C1140","uppgift saknas","2024",0
"0380C1150","hyresrätt","2024",739
"0380C1150","bostadsrätt","2024",0
"0380C1150","äganderätt","2024",19
"0380C1150","uppgift saknas","2024",0
"0380C1160","hyresrätt","2024",668
"0380C1160","bostadsrätt","2024",0
"0380C1160","äganderätt","2024",0
"0380C1160","uppgift saknas","2024",0
"0380C1170","hyresrätt","2024",166
"0380C1170","bostadsrätt","2024",153
"0380C1170","äganderätt","2024",144
"0380C1170","uppgift saknas","2024",0
"0380C1180","hyresrätt","2024",444
"0380C1180","bostadsrätt","2024",177
"0380C1180","äganderätt","2024",47
"0380C1180","uppgift saknas","2024",0
"0380C1190","hyresrätt","2024",147
"0380C1190","bostadsrätt","2024",358
"0380C1190","äganderätt","2024",114
"0380C1190","uppgift saknas","2024",0
"0380C1200","hyresrätt","2024",5
"0380C1200","bostadsrätt","2024",20
"0380C1200","äganderätt","2024",382
"0380C1200","uppgift saknas","2024",0
"0380C1211","hyresrätt","2024",485
"0380C1211","bostadsrätt","2024",70
"0380C1211","äganderätt","2024",0
"0380C1211","uppgift saknas","2024",0
"0380C1212","hyresrätt","2024",137
"0380C1212","bostadsrätt","2024",197
"0380C1212","äganderätt","2024",260
"0380C1212","uppgift saknas","2024",0
"0380C1213","hyresrätt","2024",719
"0380C1213","bostadsrätt","2024",256
"0380C1213","äganderätt","2024",38
"0380C1213","uppgift saknas","2024",0
"0380C1220","hyresrätt","2024",20
"0380C1220","bostadsrätt","2024",0
"0380C1220","äganderätt","2024",462
"0380C1220","uppgift saknas","2024",3
"0380C1230","hyresrätt","2024",51
"0380C1230","bostadsrätt","2024",16
"0380C1230","äganderätt","2024",449
"0380C1230","uppgift saknas","2024",0
"0380C1240","hyresrätt","2024",5
"0380C1240","bostadsrätt","2024",160
"0380C1240","äganderätt","2024",376
"0380C1240","uppgift saknas","2024",0
"0380C1250","hyresrätt","2024",86
"0380C1250","bostadsrätt","2024",309
"0380C1250","äganderätt","2024",259
"0380C1250","uppgift saknas","2024",0
"0380C1260","hyresrätt","2024",304
"0380C1260","bostadsrätt","2024",1083
"0380C1260","äganderätt","2024",167
"0380C1260","uppgift saknas","2024",0
"0380C1270","hyresrätt","2024",17
"0380C1270","bostadsrätt","2024",18
"0380C1270","äganderätt","2024",296
"0380C1270","uppgift saknas","2024",0
"0380C1280","hyresrätt","2024",7
"0380C1280","bostadsrätt","2024",0
"0380C1280","äganderätt","2024",373
"0380C1280","uppgift saknas","2024",0
"0380C1290","hyresrätt","2024",330
"0380C1290","bostadsrätt","2024",522
"0380C1290","äganderätt","2024",15
"0380C1290","uppgift saknas","2024",0
"0380C1300","hyresrätt","2024",283
"0380C1300","bostadsrätt","2024",398
"0380C1300","äganderätt","2024",0
"0380C1300","uppgift saknas","2024",0
"0380C1310","hyresrätt","2024",853
"0380C1310","bostadsrätt","2024",0
"0380C1310","äganderätt","2024",0
"0380C1310","uppgift saknas","2024",0
"0380C1320","hyresrätt","2024",696
"0380C1320","bostadsrätt","2024",0
"0380C1320","äganderätt","2024",126
"0380C1320","uppgift saknas","2024",0
